distinct_id,total_events,agent_usage_count,ai_adoption_index,days_active,session_count,session_depth_score,unique_event_types,onboarding_complete,has_used_agent,has_deployed,is_python_user,total_credits_used,unique_canvases,first_event_date,last_event_date,observation_days,time_to_first_agent_minutes,feature_breadth_score,churn_velocity,tool_diversity_count,avg_credit_per_transaction,python_sdk_share,churn_label
c6b7194076615a080564b652d1074060ebaed4f5b7d96802a309139f7dd47eb4,13,7,0.5385,1,2,6.5,10,0,1,0,0,0.0,1,2025-09-01 11:49:45.232,2025-09-01 11:52:26.452,1.0,0.9,0.0709,0.0,0,0.0,0.0,1
395cb81ce8c15979c62d3cec4f1ddf6194039bce9e6c444b7ef710d243e80bea,41,14,0.3415,1,5,8.2,25,1,1,0,1,0.0,2,2025-09-01 07:01:31.873,2025-09-01 18:46:51.246,1.0,594.87,0.1773,0.0,0,0.0,0.1951,1
a203c45ab8f85708273ff5dba350f7876d801fecf6d7b36dbd656bc22076d60f,10,0,0.0,1,2,5.0,10,1,0,0,0,0.0,1,2025-09-01 19:30:54.982,2025-09-01 19:32:06.038,1.0,-1.0,0.0709,0.0,0,0.0,0.0,1
3556400940f8e6b99c172ce4d4a04f40df0da1a299c58faa400fc2f4b9621950,7387,9,0.0012,67,303,24.38,58,0,1,1,1,0.0,26,2025-09-01 07:51:04.304,2025-12-08 16:43:07.955,98.37,95169.37,0.4113,-3.9469,0,0.0009844958785552318,0.3344,0
c61a6edc3c8f3d03f17f6dc4925871704b3fdef62f29ddf300c257bb25eb681d,28,12,0.4286,2,9,3.11,15,0,1,0,0,0.0,3,2025-09-01 00:29:07.495,2025-09-02 00:54:12.689,1.02,3.06,0.1064,0.0,0,0.0,0.0,1
4c21057ae52fca84e0c222d0eda6f861a78b71fcbbd4a4169a5fd2564b83d0ec,1943,902,0.4642,40,152,12.78,39,0,1,0,1,0.0,24,2025-09-01 14:02:24.838,2025-12-08 17:31:51.534,98.15,153.06,0.2766,0.6066,8,0.019675993118110236,0.7375,0
bef485e68423b5233eb5ed60295477cf0f0da28ccc889e6224ae96524dd4837a,51,1,0.0196,2,5,10.2,22,1,1,0,0,0.0,2,2025-09-01 20:30:33.369,2025-09-02 07:58:23.097,1.0,1.3,0.156,0.0,0,0.0,0.0,1
983eb4309f19406263c295eddfad7d157b7ccc450835d7f3f772dbf968e58bcf,1,0,0.0,1,1,1.0,1,0,0,0,0,0.0,0,2025-09-01 14:25:13.844,2025-09-01 14:25:13.844,1.0,-1.0,0.0071,0.0,0,0.0,0.0,1
b1856d6304a4e5adc81f56b609f4847136812d65821b926ec7cbeadd4009cfc6,14,1,0.0714,1,3,4.67,14,1,1,0,0,0.0,1,2025-09-01 14:52:03.963,2025-09-01 14:53:29.241,1.0,0.89,0.0993,0.0,0,0.0,0.0,1
fc9505d392a40ccc1708e3a8756d280966ec60f21aaf99917b0b803d46d88136,180,180,1.0,1,1,180.0,2,0,1,0,1,0.0,0,2025-09-01 15:19:53.788,2025-09-01 16:59:38.466,1.0,0.0,0.0142,0.0,0,0.0,1.0,1
805ccccbb9084a0ab86c9849781240e7a313ce62574512148315a5c0dd5be2c3,38,8,0.2105,1,4,9.5,24,1,1,0,0,0.0,2,2025-09-01 18:47:06.646,2025-09-01 18:59:12.309,1.0,1.46,0.1702,0.0,0,0.0,0.0,1
dc4c51771165a2f24ba7cb153473eedf32b016cc88afc7362a227e95b2bdadd9,24,1,0.0417,1,3,8.0,17,1,1,0,0,0.0,1,2025-09-01 08:30:50.410,2025-09-01 08:37:10.159,1.0,0.87,0.1206,0.0,0,0.0,0.0,1
8e54d78544c3b51febb377a8edee6e1550e2f92c3ce365b076ef3879ead46cf3,4930,1324,0.2686,68,276,17.86,69,1,1,1,1,0.0,31,2025-09-01 08:55:36.480,2025-12-08 16:28:42.924,98.31,230.75,0.4894,-4.2816,10,0.0009016187411167513,0.829,0
6c4690bc867f3883acb226e19347b281188b366b13c244712d3026ba8a9cefc0,2,1,0.5,1,1,2.0,2,0,1,0,0,0.0,0,2025-09-01 13:35:18.004,2025-09-01 13:42:46.947,1.0,0.0,0.0142,0.0,0,0.0,0.0,1
